,,,,,,
Walmart Receiving DCs for Store Numbers 1258-4869,,,,,,
Store #,Address Line 1,Address Line 2,City,State,Zip Code,Phone Number
1258,Fulfillment Svcs 1258,5300 Westport Pkwy,Fort Worth,TX,76177-3216,817-490-7458
1582,Regional Distribution Center,4250 Hamner Ave.,Eastvale,CA,91752-0000,N/A
2011,Regional Distribution Center 2011,7 Sorbello Rd,Pedricktown,NJ,08067-3631,914-216-4356
2076,Fulfillment Svcs 2076,1052 Vern Cora Rd,Laurens,SC,29360-0000,864-682-1500
2179,Repair Shops 2179,5200 Inner Perimeter Rd,Valdosta,GA,31601-0000,N/A
2217,DFW1S Fort Worth TX FC - VS2148,5300 Westport Pkwy,Fort Worth,TX,76177-3216,817-490-7460
2235,Dispatch Office 2235,5200 Inner Perimeter Rd,Valdosta,GA,31601-0000,N/A
2296,Fulfillment Svcs 2296,2 Gateway Blvd,Pedricktown,NJ,08067-3629,856-812-8289
2301,Centerpoint 2301,100 Myrtle Dr,Port Wentworth,GA,31407-1704,479-204-9226
2364,Regional Distribution Center,110 Moss Rd E,Auburndale,FL,33823-2410,863-269-4940
2669,Automated Consolidation Center 2669,3470 Windmill Rd,Cleburne,TX,76033-7746,817-202-3000
2971,Regional Distribution Center 2971,1410 United Dr,Shippensburg,PA,17257-9552,717-913-6100
2999,Smf1t Transfer Station 2999,"7000 Power Line Rd, Ste 2000",Sacramento,CA,95837-9108,916-518-2600
3000,Fulfillment Svcs 3000,6600 N Sarival Ave.,Litchfield Park,AZ,85340-9703,602-760-4534
3001,Fulfillment Svcs 3001,386 Murdock Road,Troutman,NC,28166-0000,704-980-1012
3005,Fulfillment Svcs 3005,14700 Blue Mound Road,Fort Worth,TX,76052-0000,682-354-2430
3006,Regional Distribution Center,2500 E Belt Line Rd,Lancaster,TX,75146-3603,214-647-9012
3010,Regional Distribution Center 3010,1065 Fort Prince Blvd,Wellford,SC,29385-9756,864-336-6610
3040,Fulfillment Svcs 3040,3501 Brandon Road,Joliet,IL,60436-0000,815-860-6648
3108,Phx1 Glendale AZ FC-VS3105,6600 N Sarival Ave,Litchfield Park,AZ,853409703,602-760-4534
3120,Lax2 San Bernardino CA Fc-VS3117,6720 Kimball Ave,Chino,CA,91708-9177,559-783-1110
3124,Regional Distribution Center 3124,1964 Intermodal Ave,Greencastle,PA,17225,717-895-6600
3325,Jet.Com Fresh Fc 3325,1055 Bronx River Ave,Bronx,NY,10472-5500,479-273-4000
3326,Centerpoint 3326,1410 United Dr,Shippensburg,PA,17257-0000,479-204-9053
3365,Fulfillment Svcs 3365,990 N 6550 W,Salt Lake City,UT,84116-0000,801-999-3603
3699,Regional Distribution Center 3699,2321 Industrial Way,Vineland,NJ,08360-1551,856-285-2852
3859,Clt1n Troutman Nc Fc - VS3856,386 Murdock Rd,Troutman,NC,28166-9593,N/A
3865,Dfw6n Fort Worth TX Fc - VS3863,14700 Blue Mound Rd,Fort Worth,TX,76052-0000,N/A
3930,Automated Consolidation Center 3930,201 S Mclinden Rd,Minooka,IL,60447-9922,815-642-9899
3951,Fulfillment Svcs 3951,117 Valentine Industrial Parkway Extension,Pendergrass,GA,30567-0000,706-693-8911
3960,Fulfillment Svcs 3960,7000 Powerline Rd,Sacramento,CA,95837-9108,916-518-2600
3967,Cvg1n WHSE Monroe Oh,650 Gateway Blvd,Monroe,OH,45050-0000,937-285-1005
3968,Fulfillment Svcs 3968,650 Gateway Blvd,Monroe,OH,45050-0000,513-402-6209
4005,Regional Distribution Center 4005,9360 Allpoints Pkwy,Plainfield,IN,46168-5907,317-754-3612
4013,Clt1n Charlotte,117 Valentine Industrial Parkway Extension,Pendergrass,GA,30567-0000,N/A
4020,Regional Distribution Center 4020,101 Broome Corporate Pkwy,Conklin,NY,13748-1507,607-251-7351
4027,Smf1n,7000 Powerline Rd,Sacramento,CA,95837-9108,N/A
4030,Fulfillment Svcs 4030,6055 S. Fulton Parkway,Atlanta,GA,30349-0000,770-603-4411
4034,Mci1n Topeka,1303 Sw Innovation Parkway,Topeka,KS,66619-0000,N/A
4038,Fulfillment Svcs 4038,9590 Allpoints Parkway,Plainfield,IN,46168-0000,317-406-8139
4047,Regional Distribution Center 4047,6500 Trade Water Pkwy Sw,Atlanta,GA,30336-2867,404-460-0500
4072,Ho Admin Dpt 4072,4000 Creekside Pkwy Ste C,Lockbourne,OH,43137-9302,650-784-5379
4078,Fulfillment Svcs 4078,6750 Kimball Avenue,Chino,CA,91708-0000,909-313-3113
4085,Fulfillment Svcs 4085,5100 N Ridge Trl,Davenport,FL,33897-6414,863-256-1801
